City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Itarema,BR,2020-10-11 23:34:57,-2.92,-39.92,78.55,79,0,14.25
70,Christchurch,NZ,2020-10-11 23:31:23,-43.53,172.63,69.8,40,71,8.05
71,Duayaw Nkwanta,GH,2020-10-11 23:43:24,7.17,-2.1,70.3,100,97,2.04
72,Gornopravdinsk,RU,2020-10-11 23:43:24,60.05,69.9,44.28,94,100,8.03
73,Mataura,NZ,2020-10-11 23:35:08,-46.19,168.86,52.0,84,100,1.99
74,Hay River,CA,2020-10-11 23:35:48,60.82,-115.8,39.2,74,75,11.41
75,Camacha,PT,2020-10-11 23:41:03,33.08,-16.33,69.8,68,40,11.41
76,Lagoa,PT,2020-10-11 23:35:22,39.05,-27.98,67.82,70,33,17.72
77,Sham Churasi,IN,2020-10-11 23:43:25,31.5,75.75,67.89,40,0,2.73
78,Jamestown,US,2020-10-11 23:35:04,42.1,-79.24,62.6,59,90,8.05
79,Hobart,AU,2020-10-11 23:32:04,-42.88,147.33,57.99,62,75,8.05
80,Yellowknife,CA,2020-10-11 23:34:59,62.46,-114.35,35.6,80,90,11.41
81,Suriapet,IN,2020-10-11 23:43:25,17.15,79.62,72.5,95,100,4.27
82,Zhuanghe,CN,2020-10-11 23:43:26,39.7,122.99,52.03,45,7,8.39
83,Baherden,TM,2020-10-11 23:43:26,38.44,57.43,51.73,39,0,6.85
84,Faanui,PF,2020-10-11 23:35:38,-16.48,-151.75,79.09,80,8,14.99
85,Luwuk,ID,2020-10-11 23:41:36,-0.95,122.79,81.5,65,100,7.31
86,Matagami,CA,2020-10-11 23:35:05,49.75,-77.63,33.8,80,1,3.36
87,Marawi,PH,2020-10-11 23:35:41,8.0,124.29,77.0,87,100,5.01
88,Kruisfontein,ZA,2020-10-11 23:36:01,-34.0,24.73,48.0,89,0,1.01
89,Chuy,UY,2020-10-11 23:35:05,-33.7,-53.46,59.27,82,58,8.43
90,Iqaluit,CA,2020-10-11 23:35:34,63.75,-68.51,32.0,93,75,17.22
91,Bethel,US,2020-10-11 23:35:00,41.37,-73.41,59.0,47,90,4.7
92,San Patricio,US,2020-10-11 23:35:18,28.02,-97.52,86.0,70,75,18.34
93,Ouadda,CF,2020-10-11 23:43:27,8.08,22.4,69.42,92,100,1.36
94,Cidreira,BR,2020-10-11 23:35:22,-30.18,-50.21,64.58,79,0,20.58
95,Albany,US,2020-10-11 23:35:02,42.6,-73.97,50.0,45,100,3.22
96,Flinders,AU,2020-10-11 23:36:47,-34.58,150.86,70.0,72,57,1.99
97,Lokoja,NG,2020-10-11 23:43:28,7.8,6.74,75.24,88,85,4.41
98,Havre,FR,2020-10-11 23:43:28,49.58,0.33,51.8,76,90,2.24
99,Mount Gambier,AU,2020-10-11 23:35:31,-37.83,140.77,60.8,63,65,13.87
100,Port Blair,IN,2020-10-11 23:36:08,11.67,92.75,80.71,83,100,13.35
101,Pangkalanbuun,ID,2020-10-11 23:43:28,-2.68,111.62,80.55,75,97,4.43
102,Egvekinot,RU,2020-10-11 23:40:35,66.32,-179.17,28.74,94,100,16.33
103,Upernavik,GL,2020-10-11 23:35:27,72.79,-56.15,35.37,84,100,7.14
104,Praia,CV,2020-10-11 23:36:47,14.92,-23.51,77.0,83,20,11.41
105,Ponta Do Sol,PT,2020-10-11 23:34:58,32.67,-17.1,69.8,68,20,16.11
106,Moussoro,TD,2020-10-11 23:43:29,13.64,16.49,89.44,17,0,7.94
107,Pacific Grove,US,2020-10-11 23:31:16,36.62,-121.92,69.01,60,1,8.05
108,Hellvik,NO,2020-10-11 23:43:29,59.92,5.78,46.0,89,45,1.99
109,Yeppoon,AU,2020-10-11 23:43:30,-23.13,150.73,75.2,69,75,9.17
110,Vostok,RU,2020-10-11 23:43:30,46.49,135.88,39.43,95,100,4.03
111,Nouakchott,MR,2020-10-11 23:42:21,18.09,-15.98,73.4,88,7,4.7
112,La Ronge,CA,2020-10-11 23:34:59,55.1,-105.28,37.4,85,90,17.22
113,Butaritari,KI,2020-10-11 23:35:13,3.07,172.79,81.03,74,23,12.73
114,Tabou,CI,2020-10-11 23:40:34,4.42,-7.35,77.09,89,100,9.53
115,Wilmington,US,2020-10-11 23:42:59,34.23,-77.94,78.01,88,90,8.05
116,Victoria,HK,2020-10-11 23:35:54,22.29,114.16,79.0,77,51,3.0
117,Khatanga,RU,2020-10-11 23:35:10,71.97,102.5,23.67,98,100,12.39
118,Le Moule,GP,2020-10-11 23:43:31,16.33,-61.35,80.6,78,7,4.7
119,Zapolyarnyy,RU,2020-10-11 23:43:31,69.42,30.81,42.8,93,90,8.05
120,Rudnogorsk,RU,2020-10-11 23:43:31,57.26,103.75,19.4,98,40,3.02
121,Wanning,CN,2020-10-11 23:41:23,18.8,110.4,78.21,85,100,16.31
122,Cabedelo,BR,2020-10-11 23:36:24,-6.98,-34.83,73.4,88,4,10.58
123,Sao Filipe,CV,2020-10-11 23:35:38,14.9,-24.5,79.34,78,7,10.33
124,Kumbo,CM,2020-10-11 23:43:32,6.2,10.67,58.1,87,76,3.62
125,Ginir,ET,2020-10-11 23:43:32,7.13,40.7,56.77,77,5,3.44
126,Tevaitoa,PF,2020-10-11 23:43:32,-16.78,-151.5,79.7,79,16,15.86
127,Chokurdakh,RU,2020-10-11 23:35:08,70.63,147.92,20.73,94,92,6.93
128,Sarakhs,IR,2020-10-11 23:43:32,36.54,61.16,46.4,42,0,4.7
129,Manokwari,ID,2020-10-11 23:35:12,-0.87,134.08,84.67,64,90,2.91
130,Kindersley,CA,2020-10-11 23:43:32,51.47,-109.17,51.8,34,20,25.28
131,Bhuj,IN,2020-10-11 23:43:33,23.27,69.67,80.6,63,0,9.91
132,Kapaa,US,2020-10-11 23:35:03,22.08,-159.32,87.8,62,40,12.75
133,East London,ZA,2020-10-11 23:35:25,-33.02,27.91,55.99,61,54,3.58
134,Champua,IN,2020-10-11 23:43:33,22.08,85.67,73.89,91,55,2.73
135,Muros,ES,2020-10-11 23:35:00,42.78,-9.06,53.01,82,4,1.01
136,Carnduff,CA,2020-10-11 23:43:33,49.17,-101.8,53.01,55,100,10.0
